Health Policy & Services	Analyzing Shifts In Economic Risks To Providers In Proposed Payment And Delivery System Reforms
Hospitality, Leisure, Sport & Tourism	The power of sport to unite a nation: the social value of the 2010 FIFA World Cup in South Africa
Sociology	Public Perceptions and Knowledge of, and Responses to, Bats in Urban Areas in Peninsular Malaysia
Area Studies	Sinews of Power: The Politics of the State Grid Corporation of China
Social Sciences, Mathematical Methods	Using Goodness-of-Fit Indexes in Assessing Mean Structure Invariance
Sociology	Culture and society: Brazil and Argentina
Education, Special	Initial and Over-Time Effects of Fluency Interventions for Students With or At Risk for Disabilities
Business	Unobservable CEO Characteristics and CEO Compensation as Correlated Determinants of CSP
Development Studies	AGRICULTURE, ECONOMIC GROWTH AND REGIONAL DISPARITIES IN INDIA
Nursing	Reverse Cascade Screening for Familial Hypercholesterolemia
Environmental Studies	Direct and indirect loss of natural habitat due to built-up area expansion: A model-based analysis for the city of Wuhan, China
Development Studies	The MDG Hunger Target and the Competing Frameworks of Food Security
Political Science	Legislative Effectiveness in the United States Congress: The Lawmakers
Management	Managing Risks in Complex Projects
Social Sciences, Interdisciplinary	Self-Policing Through Norm Internalization: A Cognitive Solution to the Tragedy of the Digital Commons in Social Networks
Regional & Urban Planning	LEARNING FROM PARADOXES ABOUT PREDICTION AND PLANNING IN SELF-ORGANIZING CITIES
Information Science & Library Science	Tea: History, Terroirs, Varieties
Health Policy & Services	Frequency and predictors of adverse health outcomes in older medicare beneficiaries discharged from the emergency department
Psychology, Multidisciplinary	"The Comic World of the Marx Brothers' Movies: ""Anything Further Father?"""
Business	Marketing Trade Craft at the Trade Commission
History & Philosophy Of Science	Trails of medicine in the Eighteenth Century
Substance Abuse	A Behaviorally-Anchored Rating System to Monitor Treatment Integrity for Community Clinicians Using the Adolescent Community Reinforcement Approach
Ethics	Field Deaths in Plant Agriculture
Public Administration	From Incapacity Benefit to Employment and Support Allowance: social sorting, sickness and impairment, and social security
Health Policy & Services	Comparative Responsiveness and Minimally Important Difference of Common Anxiety Measures
Substance Abuse	"""It Goes on Everywhere"": Injection Drug Use in Canadian Federal Prisons"
Criminology & Penology	Religious congregations and crime incidents: opportunity and bias
Geography	Cuchlaine Audrey Muriel King (26 June 1922-17 December 2019) OBITUARY
Political Science	Genealogies of Terrorism: Revolution, State Violence, Empire
Criminology & Penology	Quantifying the Likelihood of False Positives: Using Sensitivity Analysis to Bound Statistical Inference
Management	The role of technology in the creation and capture of value
Criminology & Penology	Judicial Policymaking in the EU Courts: Safeguarding Due Process in EU Sanctions Policy Against Terror Suspects
Economics	Endogenous growth with R&D and human capital: the role of returns to scale
Ethnic Studies	Death by a Thousand Cuts: The Health Implications of Black Respectability Politics
Communication	Spreadable media. Creating value and meaning in a networked culture
Education, Special	Teaching Adolescent Students With Learning Disabilities to Self-Advocate for Accommodations
Sociology	Differentiating selves: middle-aged gay men in Manchester's less visible 'homospaces'
Area Studies	A Rupture in Philippine-US Relations: Geopolitical Implications
Public, Environmental & Occupational Health	Comment on the clinical note: Acute necrotizing esophagitis in an unstable patient
Regional & Urban Planning	"Is there a ""single-family-house"" gene?"
Substance Abuse	What factors contributed to the misconduct of health practitioners? An analysis of Australian cases involving the diversion and supply of pharmaceutical drugs for non-medical use between 2010 and 2016
Environmental Studies	Monitoring and mapping non-governmental conservation action in Amazonia
Substance Abuse	Postgraduate education for doctors in smoking cessation
Urban Studies	Shaking for innovation: The (re)building of a (smart) city in a post disaster environment
Business	Facebook rituals: Identifying rituals of social networking sites using structural ritualization theory
Communication	Identifying drivers for continual usage of wireless broadband
Social Sciences, Mathematical Methods	BIC and Alternative Bayesian Information Criteria in the Selection of Structural Equation Models
Environmental Studies	The governance of integrated ecosystem management in ecological function conservation areas in China
Sociology	AND: Phenomenology of the End
Hospitality, Leisure, Sport & Tourism	Understanding the distinctiveness of Chinese Post-80s tourists through an exploration of their formative experiences
International Relations	Democratic institutions and authoritarian rule in Southeast Europe
Development Studies	Economic decline and gentrification in a small town: the business sector in Aberdeen, Eastern Cape
Substance Abuse	Why the relationship between level of alcohol-use and all-cause mortality cannot be addressed with meta-analyses of cohort studies
Information Science & Library Science	Quantifying the impact of concept recognition on biomedical information retrieval
Women'S Studies	Science Power Offspring. On the situation of Junior Scientist Inside. 4th Annual Conference of the Doc-Service in Cooperation with the Research Area of Gender Sociology, Karl Franzens University Graz, 22-23rd April 2015
Family Studies	How Long Is the Second (Plus First) Shift? Gender Differences in Paid, Unpaid, and Total Work Time in Australia and the United States
Information Science & Library Science	The Gifts of Acceptance: Embracing People and Things as They Are
Environmental Studies	The importance of cultural aspects in impact assessment and project development: reflections from a case study of a hydroelectric dam in Brazil
Social Issues	Urban Social Movements and the Right to the City: An Introduction to the Special Issue on Urban Mobilization
Education, Special	The professional development needs of special needs assistants in Irish post-primary schools
Area Studies	Editorial Foreword
Industrial Relations & Labor	Untitled
Nursing	Implementation of a School Nurse-led Intervention for Children With Severe Obesity in New York City Schools
Economics	The economic theory of rights
Ethnic Studies	Black- Blocking Rio: Dislocating Police and Remapping Race for Brazil's Megaevents
Development Studies	Can vigilance-focused governance reforms improve service delivery? The case of Integrated Child Development Services (ICDS) in Bihar, India
History & Philosophy Of Science	About Galvanism and German Reveries. For Reception of romantic Nature Research in France between 1800 and 1820
History	Back Channel to Cuba: The Hidden History of Negotiations between Washington and Havana
Business, Finance	Auditor Resignation and Firm Ownership Structure
Law	Why Study Japanese Law?
History Of Social Sciences	Blueprint for disaster: the unravelling of Chicago Public Housing
Criminology & Penology	A Unique Response to Offenders with Fetal Alcohol Spectrum Disorder: Perceptions of the Alexis FASD Justice Program
Regional & Urban Planning	Setting the scene
Industrial Relations & Labor	THE CONSEQUENCES OF ELECTRONIC HEALTH RECORD ADOPTION FOR PHYSICIAN PRODUCTIVITY AND BIRTH OUTCOMES
Education & Educational Research	College students' views of ethical issues in classroom assessment in Chinese higher education
Industrial Relations & Labor	Organizational theory: classic, contemporary and avant-garde approaches
Transportation	Exploring the potential of phone call data to characterize the relationship between social network and travel behavior
Geography	Multiculture, middle class competencies and friendship practices in super-diverse geographies
Social Work	Differential impacts of stressful life events and social support on the mental health of Mainland Chinese immigrant and local youth in Hong Kong: A resilience perspective
Social Sciences, Biomedical	The politics of emergence: Public-private partnerships and the conflictive timescapes of apomixis technology development
Public, Environmental & Occupational Health	Historical aspects, maternity and HIV infection in women
International Relations	Who Talks, and Who's Listening? Networks of International Security Studies
Hospitality, Leisure, Sport & Tourism	Bikinis and Bandages: An Itinerary for Cosmetic Surgery Tourism
Education & Educational Research	Who am I as a distance tutor? An investigation of distance tutors' professional identity in China
Management	The value of in-transit visibility for supply chains with multiple modes of transport
Education & Educational Research	Do Babies Matter? Gender and Family in the Ivory Tower
Anthropology	Darwin on campus: An assessment of students' knowledge of Darwin and evolution on the 200th anniversary of his birth
Substance Abuse	CONTROLLED DRINKING: THE SCIENCE AND THE ART
Social Sciences, Mathematical Methods	Surveying Persons in Same-Sex Relationships in a Probabilistic Way - An Example from the Netherlands
Anthropology	The Hidden Life of Girls: Games of Stance, Status, and Exclusion
History & Philosophy Of Science	Fermilab: Physics, the Frontier & Megascience
Area Studies	Between Representation and Reality: Disabled Bodies in Arabic Literature
Industrial Relations & Labor	Job openings, hires, and turnover decrease in 2007
Rehabilitation	The lived experience of parents whose children are deafblind: an occupational perspective
Psychology, Multidisciplinary	Intelligence and Musical Mode Preference
Ethics	Citizenship: Feminist perspectives
Anthropology	The unfinished castro of La Forca (Grado, Asturias). A thwarted territorial control
Business	With or without you? Interaction and immersion in a virtual reality experience
History	Ambition, Competition, and Electoral Reform: The Politics of Congressional Elections across Time
Communication	The Growth of the Rhetoric Society of America: An Anecdotal History
Urban Studies	Urban governance and political change under a radical left government: The case of Barcelona
Geography	Geographies of Regulation: Policing prostitution in nineteenth-century Britain and the Empire.
Business	Untitled
Nursing	The Effect of Daily Exercise Program on Bone Mineral Density and Cortisol Level in Preterm Infants with Very Low Birth Weight: A Randomized Controlled Trial
Demography	An Alternative to Fixed Transition Probabilities for the Projection of Interprovincial Migration in Canada
History & Philosophy Of Science	Field Life: Science in the American West during the Railroad Era
Demography	The young author's prize in 2015
Cultural Studies	DRAPETOMANIA: A PRAXIS, A SYNTAX
Social Sciences, Biomedical	The healthy lifestyle in longevity narratives
Public, Environmental & Occupational Health	A Review of Findings from the Canadian Incidence Study of Reported Child Abuse and Neglect (CIS)
Ethics	Against Democracy
Hospitality, Leisure, Sport & Tourism	Needs Assessment for Food and Food Services and Behavioral Intention of Chinese Group Tourists Who Visited Taiwan
Environmental Studies	Assessing the growth-inducing impact of the Appalachian Development Highway System in southern Ohio: Did policy promote change?
Public, Environmental & Occupational Health	The food environment in an urban Mexican American community
Geography	Contested Space, Contested Livelihoods: A Review of Mongolia's Pastureland Management and Land-Tenure Reform
Communication	Integrating heterogeneous ATM systems with an IP-based networking architecture
Economics	Constitutional rights and education: An international comparative study
Nursing	Simulation debriefing based on principles of transfer of learning: A pilot study
Health Policy & Services	SPECULATIVE MARKETS: DRUG CIRCUITS AND DERIVATIVE LIFE IN NIGERIA
Social Work	Aspects of good death
Social Work	Social Workers in Pediatric Primary Care: Communication, Gender, and Scope of Practice
Ethics	Politics of Science: Unwarranted Encounters
Education & Educational Research	Prescribing distributed leadership: Is this a contradiction?
Ethics	Should Scientific Research Involving Decapod Crustaceans Require Ethical Review?
Nursing	Development of an integrative practice placement model for students in health care
Geography	Killing One Trout to Save Another: A Hegemonic Political Ecology with Its Biopolitical Basis in Yellowstone's Native Fish Conservation Plan
History	An Immigrant Neighborhood: Interethnic and Interracial Encounters in New York before 1930
Economics	When do sell-side analysts switch industries they follow?
Urban Studies	"How ""just"" is hybrid governance of urban nature-based solutions?"
Public, Environmental & Occupational Health	Religiosity: Its Impact on Coping Styles Among Women Undergoing Fertility Treatment
Rehabilitation	Prospective memory rehabilitation using smartphones in patients with TBI
Cultural Studies	"""The 15-M movement: formed by and formative of counter-mapping and spatial activism"" by Stephen Luis Vilaseca Response"
Health Policy & Services	Public participation in decision-making on the coverage of new antivirals for hepatitis C
Ethnic Studies	Strangers No More: Immigration and the Challenges of Integration in North America and Western Europe
Social Sciences, Mathematical Methods	Defence firms facing liberalization: innovation and export in an agent-based model of the defence industry
Economics	New Directions for Smallholder Agriculture, by Peter Hazell and Atiqur Rahman
Social Sciences, Interdisciplinary	What does youth-led participatory budgeting reveal about youth priorities? Ideas, votes, and decisions
Business	A multidimensional and hierarchical model of mobile service quality
Ethics	A Study on Journal Self-Citations and Intra-Citing within the Subject Category of Multidisciplinary Sciences
Cultural Studies	The spectre of Europe: Knowledge, cultural studies and the 'rise of Asia'
Regional & Urban Planning	Editorial - Murphy's Law
Public, Environmental & Occupational Health	Family Structure and Childhood Obesity: An Analysis Through 8th Grade
Rehabilitation	Making vocational rehabilitation work for the organisation's benefit
Rehabilitation	Conceptualising diabetes self-management as an occupation
Social Work	Pregnant and Parenting Youth in Care and Their Children: A Literature Review
Psychology, Multidisciplinary	Radical Clowning: Challenging Militarism through Play and Otherness
International Relations	The risk society at war: Terror, technology and strategy in the twenty first century
Ethics	Commercial Boycotting and Conscientious Breach of Contract
Area Studies	Remaking Southeast Asian Studies: Doubt, Desire and the Promise of Comparisons
Social Sciences, Mathematical Methods	Power and sample-size analysis for the Royston Parmar combined test in clinical trials with a time-to-event outcome
Urban Studies	Long working hours and self-rated health: Evidence from Beijing, China
Social Work	A qualitative study on participants' perceptions of child development accounts in Korea
Business, Finance	On the use of the Moore-Penrose generalized inverse in the portfolio optimization problem
Gerontology	Increasing Prevalence of Reduced Estimated Glomerular Filtration Rate among the Oldest-Old US Adults from 1988-1994 through 2005-2010.
Ethnic Studies	"""Fighting Their Own Economic Battles"": Saint Charles Lockett, Ethnic Enterprizes, and the Challenges of Black Capitalism in 1970s Milwaukee"
Health Policy & Services	Variations in hospital worker perceptions of safety culture
Education, Special	Educating Culturally and Linguistically Diverse Exceptional Learners: The Need for Continued Advocacy
Management	On the relationship between supplier integration and time-to-market
Information Science & Library Science	Edible Insects: Future Prospects for Food and Feed Security
Public Administration	Government Performance in the Eyes of Business: An Empirical Study of SMEs in China
Family Studies	Cautionary notes on the shared care of children in conflicted parental separation
Management	Building a Model of Technology Preference: The Case of Channel Choices
Social Sciences, Biomedical	Reflections on becoming a person with musculoskeletal pain: A patient diary
Area Studies	Christianity and Genocide in Rwanda
Area Studies	Mashar versus Kashar in Pakistan's FATA Intra-tribal Conflict and the Obstacles to Reform
Family Studies	The Family in Modern South Africa: Insights from Recent Research
Social Sciences, Interdisciplinary	Framing and governing cyber risks: comparative analysis of US Federal policies [1996-2018]
Geography	Placing subnational borders in border studies
Public, Environmental & Occupational Health	The practical applicability of empowerment in health promotion strategies
Industrial Relations & Labor	RELATIVE WAGE POSITIONS AND QUIT BEHAVIOR: EVIDENCE FROM LINKED EMPLOYER-EMPLOYEE DATA
Rehabilitation	Occupational therapists' use of occupation-focused practice in secure hospitals. Practice Guideline
Substance Abuse	Editors foreword
Law	OBAMACARS: Applying an Insurance Mandate to Manufacturers of Fully Autonomous Vehicles
Hospitality, Leisure, Sport & Tourism	Home - tourism's uncanny
Economics	Measuring and explaining implicit risk sharing in defined benefit pension funds
Social Sciences, Mathematical Methods	Interindividual Differences in Treatment Effects Based on Structural Equation Models with Latent Variables: An EffectLiteR Tutorial
Rehabilitation	The role of the physical environment in conversations between people who are communication vulnerable and health-care professionals: a scoping review
Business	Competing in network markets: Can the winner take all?
Linguistics	Multilayered perspectives on language policy in higher education: Finland, Estonia, and Latvia in comparison
Ethics	A Geoprivacy by Design Guideline for Research Campaigns That Use Participatory Sensing Data
Ethnic Studies	Gender representations in politics of belonging: An analysis of Swiss immigration regulation from the 19th century until today
Rehabilitation	Use of Assistive Technology by Students with Visual Impairments: Findings from a National Survey
Business, Finance	The Green Giant
Social Sciences, Interdisciplinary	Indian nuclear fuel cycle decision-making: an analysis of influences
Nursing	"A 3-step teaching approach for a blended learning of ""understanding and avoiding unintentional plagiarism"""
Substance Abuse	Age of Sexual Debut and Cannabis Use in the United States
Health Policy & Services	Impact of the reduction of the prescription charge in Wales on the prescribing of non-sedating antihistamines in primary care
Urban Studies	The street level and beyond: The impact of ethnic diversity on neighborhood cohesion and fear of crime among Dutch natives and nonnatives
Social Sciences, Interdisciplinary	From Clinic to Home: Exploring the Constitution of the Paediatric Cystic Fibrosis Body
Education & Educational Research	Under-represented students' university trajectories: building alternative identities and forms of capital through digital improvisations
Communication	REPRESENTING AUSTRALIANNESS: OUR NATIONAL IDENTITY BROUGHT TO YOU BY TODAY TONIGHT
Gerontology	COMPARISON OF STAIR DESCENT AND RAMP DESCENT DURING PERFORMANCE OF COGNITIVE SECONDARY TASK IN ELDERLY COMMUNITY-DWELLING ADULTS
Health Policy & Services	Outcomes of commitment to change statements after an interprofessional faculty development program
Social Sciences, Interdisciplinary	Popular music heritage, cultural memory and cultural identity
Information Science & Library Science	Sequential patterns rule-based approach for opinion target extraction from customer reviews
Psychology, Multidisciplinary	Humor and scatology in contemporary Zulu ceremonial songs
Geography	Local spatial modeling of paddy soil landscape patterns in response to urbanization across the urban agglomeration around Hangzhou Bay, China
Area Studies	Correlates of Early Sexual Debut and Its Associated STI/HIV Risk Factors among Sexually Active Youths in Malawi
Information Science & Library Science	Growth of the number of indexed journals of Latin America and the Caribbean: the effect on the impact of each country
Ethnic Studies	Reluctant Donors African Americans, Campaign Contributors, and the Obama Effect-or Lack of It
Education & Educational Research	"Positions Toward Science Studies in Medicine Among University Graduates of Medicine and the Teenaged Participants of the ""Medical Systems"" Study Program"
Information Science & Library Science	Eat smart in Sicily: How to decipher the menu, know the market foods & embark on a tasting adventure
Information Science & Library Science	The Forgotten Girls
Business, Finance	DEPARTURES
Substance Abuse	Increasing Office-Based Buprenorphine Availability and Efficacy through Coordination with Opioid Treatment Programs
History	Scene-Setting: Writing Biography in Chinese History
Management	The impact of supervisor-subordinate relationships and a trainee characteristic upon police officer work outcomes
Social Issues	Analysis of Volunteering Among Spanish Children and Young People: Approximation to Their Determinants and Parental Influence
Environmental Studies	Overcoming growing water scarcity: Exploring potential improvements in water productivity in India
Industrial Relations & Labor	Defending Mitbestimmung: German trade unions and European company law regulation (1967-2000)
Education & Educational Research	Families in the Driver's Seat: Catalyzing Familial Transformative Agency for Equitable Collaboration
Social Issues	Unwinding Mass Incarceration
International Relations	The Oxford handbook of European history, 1914-1945.
Industrial Relations & Labor	Temporary contracts and manufacturing firms' outcomes in Spain: A curvilinear examination
Public Administration	Public Service Motivation Concepts and Theory: A Critique
International Relations	Varieties of militarism: Towards a typology
Demography	Understanding Diversity in the Meaning of Cohabitation Across Europe
Information Science & Library Science	Academic Archives: Managing the Next Generation of College and University Archives, Records, and Special Collections
Education, Special	Virtual intervention to improve storytelling ability among deaf and hard-of-hearing children
Ethics	THE RELATIONSHIP BETWEEN EXECUTIVE FUNCTIONS AND CAPACITY TO CONSENT TO TREATMENT IN ACUTE PSYCHIATRIC HOSPITALIZATION
Hospitality, Leisure, Sport & Tourism	Integrating Sustainability into the Strategic Planning of National Tourism Organizations
Public, Environmental & Occupational Health	Youth map of the city of Santo Andre, Southeastern Brazil: an instrument to read social inequalities
Development Studies	Flexibility versus Inflexibility: discursive discrepancy in US democracy promotion and anti-corruption policies
Social Sciences, Biomedical	An interdisciplinary journal for social studies of life science
Substance Abuse	Reliability and validity of the English version of the South Oaks Gambling Screen in a multiracial Asian community sample in Singapore
Linguistics	TAKE UP #9 as a semantic isogloss on the Canada-US border
Women'S Studies	Modern women on trial: Sexual transgression in the age of the flapper.
Nursing	Using a Decision Tree to Guide Bowel Management in Spina Bifida
Business	Building international entrepreneurial virtual networks in cyberspace
Social Sciences, Interdisciplinary	Results of a utilization-focused evaluation of a Right To Play program for Indigenous youth
History	Modern Architecture in Latin America: Art, Technology, and Utopia
Psychology, Multidisciplinary	The comical on stage: An attempt at a systematic account
Nursing	"Barriers and Facilitators to Improving Virginia""s HPV Vaccination Rate: A Stakeholder Analysis With Implications for Pediatric Nurses"
Social Issues	Educating Young Women to be Global Leaders: A Model
Social Sciences, Biomedical	Human Embryo Gene Editing in China: The Uncertain Legal Status of the Embryo
Rehabilitation	21ST CENTURY MEANINGFUL ACTIVITY - USING SOCIAL MEDIA AS A WAY TO ENGAGE
Transportation	Recent developments in national and international freight transport models within Europe
Psychology, Multidisciplinary	Mediation and moderation in ratings of hostile jokes by men and women
Social Sciences, Mathematical Methods	The influence of sampling method and interviewers on sample realization in the European Social Survey
Education & Educational Research	Values education, intercultural education and training for peaceful coexistence
Health Policy & Services	Pediatric care improvement through nurse empowerment
Education, Special	Effects of Teacher-Implemented Coaching to Increase the Accuracy of Data Collected by Paraeducators
History Of Social Sciences	The urban section: an analytical tool for cities and streets
Environmental Studies	Multispecies entanglements in the virosphere: Rethinking the Anthropocene in light of the 2019 coronavirus outbreak
Substance Abuse	Barriers to the influence of evidence on policy: Are politicians the problem?
History & Philosophy Of Science	Blacked-out spaces: Freud, censorship and the re-territorialization of mind
Business, Finance	The R&D Premium and Takeover Risk
Management	Industry Identity in an Oligopolistic Market and Firms' Responses to Institutional Pressures
Political Science	Litmus Test Homophobia and Democracy in Russia
Management	The impact of entrepreneurial orientation on firm performance: the role of CEO position tenure and industry tenure
Education & Educational Research	Co-teaching as a context for teachers' professional learning and joint knowledge construction
Economics	Analyzing business cycle asymmetries in a multi-level factor model
Criminology & Penology	Understanding Criminal Punishment and Prisons in China
Family Studies	Emerging Adulthood in Time and Space: The Geographic Context of Homelessness
Social Sciences, Mathematical Methods	A procedure to tabulate and plot results after flexible modeling of a quantitative covariate
Ethics	Scientific Review by the Ethics Committee
Public, Environmental & Occupational Health	SCOPE AND PATTERNS OF INTERPERSONAL VIOLENCE IN EUROPE FIRST RESULTS OF THE EU INJURY DATABASE (IDB)
Family Studies	Critical friendships
Information Science & Library Science	The Accidental Dictionary: The Remarkable Twists and Turns of English Words
Ethnic Studies	Job search methods and immigrant earnings: A longitudinal analysis of the role of bridging social capital
Ethics	An ethical evaluation of the legal status of foetuses and embryos under Chinese law
Economics	A QUANTITATIVE APPROACH FOR THE FINANCIAL IMPROVEMENT OF PRIVATE PENSIONS SYSTEMS. ROMANIAN AND POLISH PERSPECTIVE
Health Policy & Services	Unravelling the concept of integrated public health policy: Concept mapping with Dutch experts from science, policy, and practice
Psychology, Multidisciplinary	"""You're lying to Jesus!"" Humor and play in a discussion about homelessness"
History Of Social Sciences	A Hole in the Head: More Tales in the History of Neuroscience.
Rehabilitation	Marketing occupational therapy: everybody's business
Health Policy & Services	Examining Measures of Income and Poverty in Medicare Administrative Data
Public, Environmental & Occupational Health	A mobile device to reduce airborne particulate and prevent surgical site infections
Education, Special	A Review of the Effects of Self-Monitoring on Reading Performance of Students With Disabilities
Communication	Crime news and racialized beliefs: Understanding the relationship between local news viewing and perceptions of African Americans and crime
Ethnic Studies	Lunch on the Grass: Three Women Art Educators of Color
Communication	"The Proliferation of the ""News Finds Me"" Perception Across Societies"
Social Work	Social work students field training as an opportunity to develop best practice in disabilities: the case of Jordan
Education, Special	Health Literacy of Students with and without Individualized Education Programs: A Brief Report
Cultural Studies	Expo Fantasies: Time, Space, and the Transnational Vision in Three Late Qing Texts
Hospitality, Leisure, Sport & Tourism	The Benefits of Similarity between Tourist and Destination Personality
Management	Delegation vs. Control of Component Procurement Under Asymmetric Cost Information and Simple Contracts
Business	Impact of product characteristics of limited edition shoes on perceived value, brand trust, and purchase intention; focused on the scarcity message frequency
Gerontology	Knowledge Translation Strategy to Reduce the Use of Potentially Inappropriate Medications in Hospitalized Elderly Adults
Education, Special	A Systematic Review of Paraprofessional Training Materials
Women'S Studies	Casting Out: The Eviction of Muslims from Western Law and Politics
Women'S Studies	Free Lunch with the Stench Wench: Toward a Synaesthetics of Poverty and Shame in Catherine Hoffmann's Performance
Business, Finance	Corporate governance and state expropriation risk
Public Administration	Are We Being Served? Emotional Labour in Local Government in Victoria, Australia
Information Science & Library Science	ASSESSMENT PORTALS OF JOURNALS IMPLEMENTED WITH BRAZILIAN SEER/OJS THROUGH THE LIFTING OF THE INDEX LATINDEX AND SciELO
Communication	Partial, conditional, and moderated moderated mediation: Quantification, inference, and interpretation
Gerontology	Clinicians' Perspectives on Under- and Overtreated Pain In Older Postoperative Patients
Social Issues	Financial Giving of Foundations and Businesses to Environmental NGOs: The Role of Grantee's Legitimacy
Social Issues	Constancy and Change, Historical Types and Trends in the Passion of the Western Mind
Social Sciences, Biomedical	The trading zone of autism genetics: Examining the intersection of genomic and psychiatric classification
Sociology	"WHERE IS FORT MCMURRAY? THE CAMERA AS A TOOL FOR ASSEMBLING ""COMMUNITY"""
Political Science	Beyond Hope
Communication	Australian journalist-blogs: A shift in audience relationships or mere window dressing?
Transportation	A revenue management slot allocation model for liner shipping networks
Nursing	Parent Experiences Raising Young People with Type 1 Diabetes and Celiac Disease
Business, Finance	"Discussion of ""On the relation between predictable market returns and predictable analyst forecast errors"""
Demography	Trends in US adult chronic disease mortality, 1960-1999: Age, period, and cohort variations
Sociology	Living in the Suburbia: The Case Study of Stupava (the Hinterland of Bratislava, Slovakia)
Geography	Crime Exposure Along My Way Home: Estimating Crime Risk Along Personal Trajectory by Visual Analytics
Psychology, Multidisciplinary	Encyclopedia of Humor Studies
Environmental Studies	Rural inter-firm networks as basis for multifunctional local system development: Evidence from an Italian alpine area
Family Studies	The lasting effects of growing up in a military-connected home: a qualitative study of college-aged American military kids
Social Issues	"A DYNAMIC MODEL FOR ""SCIENCE AND RELIGION"": INTERACTING SUBCULTURES"
Linguistics	Severing telicity from result
Social Sciences, Biomedical	The Miltown era (vol 5, pg 149, 2010)
Ethics	Retributivism Has a Past: Has It a Future?
Sociology	Knowledge is not Power State-Funded Sociological Research in Iran
Management	Newsvendor Demand Chasing Revisited
Women'S Studies	testing the future: gender and technocapitalism in start-up India
Regional & Urban Planning	Witchcraft, oracle, and magic in the kingdom of planning: A reflection on planning theory and practice inspired by Ernest Alexander
Development Studies	Mixing and matching: using qualitative methods to improve quantitative impact evaluations (IEs) and systematic reviews (SRs) of development outcomes
Social Sciences, Interdisciplinary	Family, School, and Community Correlates of Children's Subjective Well-being: An International Comparative Study
Cultural Studies	Who said hip-hop was dead? The politics of hip-hop culture in Immortal Technique's lyrics
History Of Social Sciences	London underground maps: art, design and cartography
Education, Special	The prevalence of overweight and obesity levels among forensic inpatients with learning disability
Communication	Social media and online political discussion: The effect of cues and informational cascades on participation in online political communities
Psychology, Multidisciplinary	A dual-processing approach to the effects of viewing political comedy
Cultural Studies	Speculative Values and Courtroom Contestations
Management	Technical efficiency and its determinants in the Spanish construction sector pre- and post-financial crisis
Transportation	Transport modelling in the context of the 'predict and provide' paradigm
Public Administration	Toward a Platinum Standard for Evidence-Based Assessment by 2020
Political Science	Multi-dimensional economic voting in Spain: The 2008 election
Education, Special	Patterns of Statewide Test Participation for Students With Significant Cognitive Disabilities
Social Work	The Capability Approach as a framework for the evaluation of child and youth care
Regional & Urban Planning	Assemblages for Urban Transformation Qualities and Modes of Planning Under Conditions of Urban Transformation
History Of Social Sciences	Forum for the History of Human Science
Development Studies	The Urban Space of Curitiba through Six Decades of Modernity: Roots and Prospects
Psychology, Multidisciplinary	America's faith in the laugh resistance - popular beliefs about political humor in the 2016 presidential elections
Social Issues	The Role of Blended Value Accounting in the Evaluation of Socio-Economic Impact of Social Enterprises
Linguistics	Perceptual Associations Between Words and Speaker Age
Area Studies	Colonialism and Religious Power Politics: The Question of New Regulations within the Orthodox Church of Jerusalem during the British Mandate
International Relations	Why Iran Should Get the Bomb Nuclear Balancing Would Mean Stability
History & Philosophy Of Science	A Naturalist's Guide to Objective Chance
Cultural Studies	Breaking the frame: cultural motivation in the production of an online artwork - the case of BoyBlack
Industrial Relations & Labor	Soft skills and employability: Evidence from UK retail
Education & Educational Research	Enabling Young Professionals to Learn from Errors - the Role of a Supportive Learning Climate in Crossing Help Network Boundaries
Health Policy & Services	Regulatory theory: commercially sustainable markets rely upon satisfying the public interest in obtaining credible goods
Development Studies	Electricity Access and the Performance of Micro and Small Enterprises: Evidence from West Africa
Transportation	A wavelet and neural network model for the prediction of dry bulk shipping indices
Education, Special	Improving Youth and Staff Supports: FW-PBIS Framework Implementation in Juvenile Correctional Facilities
Regional & Urban Planning	Building Actor Relationships and Alliances for Complex Problem Solving in Spatial Planning: The Test Planning Method Test Planning as a Means of Solving Complex Problems in Spatial Planning
Social Sciences, Biomedical	Of rats and women: Narratives of motherhood in environmental epigenetics
Business	Special section guest editors' introduction: Evaluating new technological innovations for successful business on the internet
Social Sciences, Mathematical Methods	Maximum likelihood estimation for contingency tables and logistic regression with incorrectly linked data
Criminology & Penology	Societal vulnerability and adolescent offending: The role of violent values, self-control and troublesome youth group involvement
Business, Finance	Special issue on corporate governance and entrepreneurial finance in China
Hospitality, Leisure, Sport & Tourism	Thailand wine tourism: a dream or a reality?
Demography	The demographic impact of Partition in the Punjab in 1947
History	"""We Are with You, Vietnam': Transnational Solidarities in Socialist Hungary, Poland and Yugoslavia"
Rehabilitation	Uses of the National Rehabilitation Reporting System: Perspectives of geriatric rehabilitation clinicians
History	Protest in Hitler's 'National Community': Popular Unrest and the Nazi Response
International Relations	Maximizing the potentials of Bangladesh's export to the EU market
Gerontology	Potentially Inappropriate Medications and Functional Decline in Elderly Hospitalized Patients
Urban Studies	Collaborative governance: A potential approach to preventing violent demolition in China
Economics	MODELING PROPORTIONS: RANDOM EFFECTS MODELS OF UK FIRM ENTRY
Anthropology	Shared biology and culture of the first Americans: Data from submerged burials
Public, Environmental & Occupational Health	Sex and Racial/Ethnic Differences in Suicidal Consideration and Suicide Attempts among US College Students, 2011-2015
